OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev
92,CNY FERTILITY COLORADO,,COLORADO SPRINGS,COLORADO,"Paul C. Magarelli, MD, PhD",97,41,26,19,29.9%,22.0%,19.2%,* / 19,25.8%,22.0%,19.2%,* / 19,96,39,24,17,30.2%,23.1%,20.8%,* / 17,26.0%,23.1%,20.8%,* / 17,78,21,9,*,37.2%,42.9%,5 / 9,* / *,32.1%,42.9%,5 / 9,* / *,3.3,4.6,5.2,9.5,29.9%,16.7%,* / 13,* / 11,37.3%,20.8%,* / 13,* / 11,38.8%,20.8%,* / 13,* / 11,1.3,1.3,1.5,1.4,0.8,0.4,0.3,0.1,0,0,5,7,,,* / 5,* / 7,,,* / 5,* / 7,161,75,44,35,315,0.0%,11.1%,4.2%,19.2%,6.4%,4.3%,14.3%,14.0%,33.3%,10.9%,1.2%,0.0%,0.0%,0.0%,0.6%,3.6%,3.4%,5.0%,0 / 9,3.5%,100.0%,100.0%,100.0%,9 / 9,100.0%,96.4%,96.6%,90.0%,9 / 9,95.7%,77.1%,65.5%,75.0%,8 / 9,75.2%,37%,4%,16%,17%,3%,16%,0%,15%,66%,4%,16%,13%,6%,No,No,Yes,Yes,Yes,No,Yes,0,CO
93,ADVANCED REPRODUCTIVE MEDICINE,UNIVERSITY OF COLORADO,DENVER,COLORADO,"Alex J Polotsky, MD",72,34,31,*,59.7%,47.1%,22.6%,* / *,55.6%,44.1%,19.4%,* / *,64,30,29,*,67.2%,53.3%,24.1%,* / *,62.5%,50.0%,20.7%,* / *,68,30,24,*,63.2%,53.3%,29.2%,* / *,58.8%,50.0%,25.0%,* / *,1.7,2.1,4.4,3.0,56.9%,50.0%,24.0%,* / *,58.5%,53.6%,24.0%,* / *,58.5%,53.6%,24.0%,* / *,1.0,1.1,1.2,1.0,0.9,0.9,0.7,0.7,*,0,11,0,0 / *,,8 / 11,,0 / *,,8 / 11,,175,100,53,42,370,6.7%,4.3%,4.5%,* / 13,5.8%,10.7%,14.3%,9.6%,26.8%,13.3%,6.3%,4.0%,0.0%,0.0%,4.1%,1.2%,6.3%,3.4%,0.0%,2.8%,93.9%,93.8%,93.1%,95.0%,93.9%,72.0%,77.1%,55.2%,55.0%,68.7%,40.2%,58.3%,75.9%,55.0%,52.5%,36%,4%,11%,5%,2%,6%,1%,14%,37%,2%,9%,1%,24%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CO
94,COLORADO REPRODUCTIVE ENDOCRINOLOGY,,DENVER,COLORADO,"Susan W. Trout, MD",25,11,6,*,24.0%,5 / 11,* / 6,0 / *,24.0%,5 / 11,* / 6,0 / *,24,10,6,*,25.0%,5 / 10,* / 6,0 / *,25.0%,5 / 10,* / 6,0 / *,24,13,*,0,25.0%,5 / 13,* / *,,25.0%,5 / 13,* / *,,4.2,2.2,3.0,,6 / 18,* / 9,* / 5,0 / *,6 / 18,* / 9,* / 5,0 / *,6 / 18,* / 9,* / 5,0 / *,1.3,1.0,1.2,2.0,1.0,1.3,0.3,0.0,*,0,10,11,* / *,,* / 10,7 / 11,* / *,,* / 10,5 / 11,67,45,25,20,157,3.2%,14.3%,* / 12,0 / *,10.3%,7.6%,16.7%,13.6%,30.0%,14.0%,6.0%,4.4%,8.0%,0.0%,5.1%,2.8%,9.1%,* / 11,* / 11,6.3%,94.4%,90.9%,10 / 11,11 / 11,93.8%,13.9%,0.0%,0 / 11,0 / 11,6.3%,22.2%,18.2%,7 / 11,* / 11,25.0%,17%,4%,16%,18%,1%,8%,1%,27%,38%,3%,17%,8%,11%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CO
95,DENVER FERTILITY-ALBRECHT WOMEN'S CARE,,ENGLEWOOD,COLORADO,"Bruce H. Albrecht, MD",29,35,12,11,44.8%,25.7%,* / 12,* / 11,41.4%,22.9%,* / 12,* / 11,29,28,10,8,44.8%,32.1%,* / 10,* / 8,41.4%,28.6%,* / 10,* / 8,16,19,*,*,13 / 16,9 / 19,* / *,* / *,12 / 16,8 / 19,* / *,* / *,2.2,3.9,4.0,11.0,50.0%,22.7%,* / 7,* / 7,50.0%,27.3%,* / 7,* / 7,50.0%,27.3%,* / 7,* / 7,1.2,1.3,1.3,1.0,0.5,0.6,0.3,0.1,0,*,21,*,,* / *,57.1%,* / *,,* / *,57.1%,* / *,72,65,74,55,266,7.7%,5.6%,10.6%,7.1%,8.0%,5.8%,12.7%,13.0%,24.5%,13.4%,1.4%,7.7%,5.4%,7.3%,5.3%,0.0%,3.4%,3.7%,4.0%,2.7%,100.0%,96.6%,100.0%,92.0%,97.3%,93.8%,86.2%,55.6%,60.0%,75.2%,81.3%,58.6%,88.9%,76.0%,76.1%,24%,5%,9%,15%,2%,3%,0%,47%,51%,9%,8%,1%,7%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CO
96,ROCKY MOUNTAIN FERTILITY CENTER,,ENGLEWOOD,COLORADO,"Deborah L. Smith, MD",30,16,10,*,66.7%,8 / 16,* / 10,* / *,53.3%,7 / 16,* / 10,* / *,29,15,8,*,69.0%,8 / 15,* / 8,* / *,55.2%,7 / 15,* / 8,* / *,28,10,*,*,71.4%,8 / 10,* / *,* / *,57.1%,7 / 10,* / *,* / *,1.5,2.0,10.0,2.0,60.9%,* / 8,* / 5,0 / *,69.6%,* / 8,* / 5,0 / *,69.6%,* / 8,* / 5,0 / *,1.1,1.0,1.4,1.0,0.9,0.8,0.3,0.0,*,*,12,5,* / *,* / *,8 / 12,* / 5,* / *,* / *,5 / 12,* / 5,63,23,23,21,130,4.5%,* / 8,0 / 11,0 / 8,4.1%,4.8%,9.1%,0.0%,14.3%,6.3%,9.5%,8.7%,13.0%,4.8%,9.2%,4.7%,0 / 16,0 / 13,* / 14,3.5%,93.0%,13 / 16,12 / 13,11 / 14,88.4%,97.7%,15 / 16,12 / 13,12 / 14,94.2%,53.5%,10 / 16,8 / 13,7 / 14,55.8%,24%,8%,4%,12%,1%,34%,3%,56%,25%,3%,0%,2%,9%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,CO
97,ROCKY MOUNTAIN CENTER FOR REPRODUCTIVE MEDICINE,,FORT COLLINS,COLORADO,"Kevin E. Bachus, MD",30,7,11,*,63.3%,* / 7,* / 11,0 / *,40.0%,* / 7,* / 11,0 / *,30,6,10,*,63.3%,* / 6,* / 10,0 / *,40.0%,* / 6,* / 10,0 / *,42,8,8,*,45.2%,* / 8,* / 8,0 / *,28.6%,* / 8,* / 8,0 / *,1.6,1.8,2.8,,64.3%,* / 5,* / 6,0 / *,67.9%,* / 5,* / 6,0 / *,67.9%,* / 5,* / 6,0 / *,1.1,1.0,1.3,1.0,1.4,1.4,0.8,1.0,7,0,*,0,5 / 7,,0 / *,,5 / 7,,0 / *,,72,31,16,12,131,0.0%,0 / 16,0 / 11,0 / 8,0.0%,5.6%,6.5%,* / 16,* / 12,6.1%,0.0%,0.0%,0 / 16,0 / 12,0.0%,0.0%,0.0%,0 / 15,0 / 11,0.0%,47.1%,51.7%,5 / 15,* / 11,45.5%,100.0%,100.0%,15 / 15,10 / 11,99.2%,0.0%,0.0%,0 / 15,0 / 11,0.0%,27%,2%,21%,31%,1%,0%,0%,18%,0%,2%,4%,2%,10%,Yes,No,Yes,No,No,Yes,Yes,0,CO
98,CONCEPTIONS REPRODUCTIVE ASSOCIATES OF COLORADO,,LITTLETON,COLORADO,"Mark R. Bush, MD",279,159,147,91,49.1%,35.8%,26.5%,8.8%,45.2%,31.4%,23.8%,8.8%,270,147,133,79,50.7%,38.1%,29.3%,10.1%,46.7%,34.0%,26.3%,10.1%,198,92,61,17,69.2%,62.0%,63.9%,8 / 17,63.6%,54.3%,57.4%,8 / 17,2.0,2.8,3.8,11.4,55.5%,39.0%,37.0%,12.5%,59.6%,45.1%,48.1%,12.5%,61.0%,45.1%,48.1%,12.5%,1.2,1.2,1.3,1.2,0.8,0.6,0.5,0.2,0,*,97,14,,0 / *,66.0%,8 / 14,,0 / *,64.9%,6 / 14,497,333,271,214,"1,315",2.9%,3.6%,4.8%,6.9%,4.2%,2.7%,5.5%,5.7%,10.2%,5.2%,0.4%,0.0%,0.4%,0.0%,0.2%,3.1%,7.3%,1.6%,2.1%,3.7%,100.0%,98.2%,100.0%,100.0%,99.5%,95.8%,98.8%,96.7%,95.8%,96.7%,94.6%,97.6%,95.9%,92.7%,95.3%,15%,9%,11%,15%,6%,8%,1%,39%,51%,6%,10%,9%,9%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,CO
99,COLORADO CENTER FOR REPRODUCTIVE MEDICINE,,LONE TREE,COLORADO,"William B. Schoolcraft, MD",401,344,382,378,60.1%,52.6%,33.2%,13.0%,46.4%,44.2%,26.7%,11.4%,390,324,354,351,61.8%,55.9%,35.9%,14.0%,47.7%,46.9%,28.8%,12.3%,343,276,196,79,70.3%,65.6%,64.8%,62.0%,54.2%,55.1%,52.0%,54.4%,1.7,1.9,3.0,7.7,66.8%,57.9%,40.9%,16.0%,69.7%,60.1%,45.3%,17.0%,71.4%,61.8%,49.6%,18.9%,1.1,1.2,1.4,1.6,0.9,0.8,0.5,0.2,6,*,193,13,5 / 6,* / *,63.7%,9 / 13,5 / 6,* / *,58.0%,8 / 13,959,925,899,855,"3,638",4.0%,2.9%,2.7%,8.8%,4.6%,2.0%,4.4%,5.8%,9.3%,5.2%,11.9%,13.9%,13.7%,8.7%,12.1%,3.9%,4.4%,7.7%,12.7%,7.0%,94.2%,98.7%,98.8%,98.5%,97.5%,92.4%,90.2%,85.4%,73.4%,85.8%,77.7%,88.0%,89.9%,88.3%,85.8%,30%,6%,5%,8%,8%,4%,1%,37%,52%,9%,55%,26%,8%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,*,CO
100,CENTER FOR ADVANCED REPRODUCTIVE SERVICES,,FARMINGTON,CONNECTICUT,"John C. Nulsen, MD",388,248,215,173,61.1%,43.5%,21.4%,8.7%,53.1%,37.5%,17.7%,8.7%,361,219,176,135,65.7%,49.3%,26.1%,11.1%,57.1%,42.5%,21.6%,11.1%,411,218,137,76,57.7%,49.5%,33.6%,19.7%,50.1%,42.7%,27.7%,19.7%,1.6,2.3,4.7,11.5,66.7%,47.2%,30.4%,7.3%,74.3%,59.2%,36.7%,16.4%,75.9%,63.2%,44.3%,21.8%,1.2,1.4,1.6,1.5,1.1,0.9,0.7,0.5,0,26,42,0,,61.5%,38.1%,,,61.5%,38.1%,,717,445,386,364,"1,912",5.8%,9.5%,18.1%,22.4%,12.9%,8.8%,10.7%,15.1%,18.1%,12.1%,4.7%,2.2%,3.1%,2.2%,3.3%,1.1%,3.0%,1.3%,0.0%,1.4%,62.2%,70.3%,67.1%,62.8%,65.1%,76.0%,84.4%,81.0%,80.4%,79.5%,18.2%,27.5%,38.6%,38.5%,26.6%,29%,11%,11%,19%,10%,29%,<1%,13%,28%,11%,37%,3%,11%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,CT
101,"GREENWICH FERTILITY AND IVF CENTER, PC",,GREENWICH,CONNECTICUT,"Barry R. Witt, MD",91,74,99,68,57.1%,59.5%,43.4%,10.3%,54.9%,58.1%,42.4%,10.3%,88,69,91,54,59.1%,63.8%,47.3%,13.0%,56.8%,62.3%,46.2%,13.0%,97,73,64,13,53.6%,60.3%,67.2%,7 / 13,51.5%,58.9%,65.6%,7 / 13,1.8,1.7,2.3,9.7,63.1%,58.3%,52.1%,8.3%,70.8%,66.7%,62.5%,12.5%,70.8%,66.7%,64.6%,20.8%,1.2,1.1,1.4,1.8,1.1,1.1,0.7,0.2,0,10,27,0,,7 / 10,59.3%,,,7 / 10,59.3%,,180,177,160,128,645,5.9%,12.0%,12.0%,19.7%,12.0%,9.7%,10.1%,17.9%,15.7%,13.0%,4.4%,7.9%,5.6%,2.3%,5.3%,6.5%,21.1%,11.4%,22.0%,14.4%,77.8%,94.4%,90.0%,93.2%,87.8%,39.8%,30.0%,50.0%,30.5%,37.6%,52.8%,74.4%,87.1%,71.2%,69.4%,18%,3%,2%,8%,<1%,1%,8%,33%,40%,10%,7%,1%,23%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,CT
102,REPRODUCTIVE MEDICINE ASSOCIATES OF CONNECTICUT,,NORWALK,CONNECTICUT,"Mark P. Leondires, MD",273,197,218,177,50.9%,43.7%,21.1%,10.7%,47.3%,41.6%,20.2%,10.2%,256,180,191,152,54.3%,47.8%,24.1%,12.5%,50.4%,45.6%,23.0%,11.8%,285,160,98,36,48.8%,53.8%,46.9%,52.8%,45.3%,51.3%,44.9%,50.0%,2.0,2.3,4.7,9.3,54.1%,47.6%,20.7%,6.3%,62.2%,58.3%,33.7%,9.5%,65.1%,59.2%,37.0%,12.7%,1.2,1.3,1.7,1.6,1.1,0.9,0.5,0.2,5,9,168,19,* / 5,* / 9,66.7%,9 / 19,* / 5,* / 9,61.9%,8 / 19,671,480,410,517,"2,078",7.5%,12.6%,12.1%,16.4%,11.9%,7.8%,14.9%,16.7%,24.5%,15.2%,6.6%,6.7%,6.3%,2.3%,5.5%,8.5%,13.8%,10.4%,25.4%,13.6%,79.6%,84.9%,91.2%,91.7%,85.4%,73.7%,62.5%,65.4%,60.0%,66.8%,48.0%,61.2%,75.3%,64.9%,59.5%,22%,5%,11%,15%,10%,66%,7%,35%,43%,16%,73%,5%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,CT
103,YALE FERTILITY CENTER,,ORANGE,CONNECTICUT,"Pasquale Patrizio, MD",132,90,91,96,58.3%,40.0%,39.6%,6.3%,50.0%,33.3%,37.4%,4.2%,119,71,82,78,64.7%,50.7%,43.9%,7.7%,55.5%,42.3%,41.5%,5.1%,155,76,67,48,49.7%,47.4%,53.7%,12.5%,42.6%,39.5%,50.7%,8.3%,1.7,2.5,2.5,16.0,62.6%,40.0%,42.2%,11.1%,70.3%,44.0%,55.6%,11.1%,74.7%,48.0%,60.0%,14.8%,1.3,1.3,1.4,2.0,1.2,0.9,0.8,0.4,0,9,18,*,,* / 9,8 / 18,* / *,,* / 9,6 / 18,* / *,257,196,166,188,807,8.4%,15.5%,14.7%,18.5%,14.0%,8.6%,13.5%,7.9%,20.5%,12.3%,9.3%,8.2%,10.2%,3.7%,7.9%,1.2%,4.6%,2.9%,4.8%,3.1%,60.1%,62.4%,56.3%,51.9%,58.1%,78.0%,83.5%,72.8%,79.8%,78.5%,19.1%,21.1%,16.5%,26.9%,20.7%,26%,4%,13%,11%,6%,6%,1%,22%,26%,8%,16%,7%,13%,No,No,Yes,Yes,Yes,Yes,Yes,0,CT
104,NEW ENGLAND FERTILITY INSTITUTE,,STAMFORD,CONNECTICUT,"Gad Lavy, MD",35,33,32,30,57.1%,36.4%,21.9%,3.3%,48.6%,27.3%,18.8%,3.3%,34,32,25,28,58.8%,37.5%,28.0%,3.6%,50.0%,28.1%,24.0%,3.6%,26,28,19,8,76.9%,42.9%,7 / 19,* / 8,65.4%,32.1%,6 / 19,* / 8,1.8,2.8,4.6,30.0,69.6%,8 / 19,6 / 19,0 / 13,69.6%,10 / 19,6 / 19,0 / 13,69.6%,10 / 19,7 / 19,0 / 13,1.2,1.3,1.4,1.4,0.8,0.9,0.6,0.3,0,*,120,8,,* / *,58.3%,* / 8,,0 / *,49.2%,* / 8,112,105,105,230,552,11.4%,6.1%,14.7%,19.8%,14.9%,25.2%,22.3%,19.0%,22.6%,22.4%,0.0%,2.9%,4.8%,0.9%,1.8%,46.4%,59.6%,50.8%,71.3%,59.9%,89.3%,96.5%,91.8%,87.0%,90.3%,80.4%,66.7%,59.0%,66.1%,67.5%,69.6%,77.2%,57.4%,68.7%,68.2%,1%,<1%,<1%,<1%,1%,1%,17%,13%,25%,1%,25%,24%,56%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,CT
105,PARK AVENUE FERTILITY AND REPRODUCTIVE MEDICINE,,TRUMBULL,CONNECTICUT,"Andrew J Levi, MD",45,40,41,22,53.3%,52.5%,26.8%,9.1%,48.9%,42.5%,26.8%,9.1%,37,37,34,11,64.9%,56.8%,32.4%,* / 11,59.5%,45.9%,32.4%,* / 11,42,36,24,8,57.1%,58.3%,45.8%,* / 8,52.4%,47.2%,45.8%,* / 8,1.9,1.9,3.7,11.0,56.7%,56.5%,5 / 14,* / 11,63.3%,60.9%,7 / 14,* / 11,63.3%,69.6%,7 / 14,* / 11,1.3,1.3,1.4,1.6,0.9,0.9,0.5,0.4,*,0,16,0,* / *,,7 / 16,,* / *,,7 / 16,,91,55,59,79,284,12.5%,9.7%,35.1%,38.8%,24.8%,8.2%,9.6%,21.7%,23.3%,14.8%,0.0%,0.0%,3.4%,0.0%,0.7%,0.0%,0.0%,0.0%,6.9%,1.6%,81.6%,85.2%,73.9%,75.9%,79.7%,93.9%,100.0%,95.7%,96.6%,96.1%,30.6%,22.2%,39.1%,27.6%,29.7%,17%,3%,7%,4%,1%,1%,0%,30%,28%,5%,5%,2%,32%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,CT
106,"DELAWARE INSTITUTE FOR REPRODUCTIVE MEDICINE, PA",,NEWARK,DELAWARE,"Jeffrey B. Russell, MD",69,22,25,20,56.5%,22.7%,16.0%,0.0%,53.6%,22.7%,16.0%,0.0%,64,22,23,18,60.9%,22.7%,17.4%,0 / 18,57.8%,22.7%,17.4%,0 / 18,70,14,12,*,55.7%,5 / 14,* / 12,0 / *,52.9%,5 / 14,* / 12,0 / *,1.8,4.4,6.3,,61.8%,* / 11,* / 18,0 / 6,63.6%,* / 11,* / 18,0 / 6,63.6%,* / 11,* / 18,0 / 6,1.1,1.1,1.1,1.5,1.1,0.7,0.6,0.3,0,0,14,43,,,* / 14,23.3%,,,* / 14,23.3%,180,77,46,70,373,5.4%,0.0%,0.0%,30.8%,7.8%,33.0%,31.2%,28.3%,24.2%,30.5%,0.0%,0.0%,4.3%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,98.0%,97.6%,95.8%,95.1%,97.1%,83.0%,71.4%,75.0%,24.4%,68.1%,63.0%,47.6%,58.3%,46.3%,56.0%,24%,19%,27%,8%,2%,21%,1%,16%,15%,2%,22%,1%,7%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,DE
107,RADFERTILITY,,NEWARK,DELAWARE,"Ronald F. Feinberg, MD, PhD",124,46,31,28,68.5%,47.8%,38.7%,14.3%,66.9%,47.8%,38.7%,14.3%,118,40,24,20,72.0%,55.0%,50.0%,20.0%,70.3%,55.0%,50.0%,20.0%,146,36,19,14,58.2%,61.1%,12 / 19,* / 14,56.8%,61.1%,12 / 19,* / 14,1.5,2.1,2.6,7.0,72.4%,11 / 19,9 / 19,* / 9,77.6%,15 / 19,9 / 19,* / 9,77.6%,16 / 19,9 / 19,* / 9,1.1,1.4,1.3,1.8,1.2,1.0,0.6,0.6,*,*,44,6,* / *,* / *,52.3%,* / 6,* / *,* / *,52.3%,* / 6,426,167,168,124,885,9.0%,11.9%,14.6%,26.0%,13.0%,18.8%,8.8%,17.4%,11.7%,15.7%,1.2%,0.0%,0.6%,0.0%,0.7%,2.1%,2.1%,1.3%,2.9%,2.1%,91.6%,93.8%,92.1%,91.3%,92.1%,95.8%,87.5%,85.5%,68.1%,88.5%,48.3%,59.4%,60.5%,53.6%,53.2%,36%,39%,35%,18%,58%,1%,1%,29%,26%,10%,9%,<1%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,DE
108,COLUMBIA FERTILITY ASSOCIATES,,WASHINGTON,DISTRICT OF COLUMBIA,"Preston Sacks, MD",71,80,61,138,45.1%,27.5%,27.9%,8.7%,39.4%,27.5%,27.9%,8.0%,65,72,55,104,49.2%,30.6%,30.9%,11.5%,43.1%,30.6%,30.9%,10.6%,69,70,45,68,46.4%,31.4%,37.8%,17.6%,40.6%,31.4%,37.8%,16.2%,2.2,3.6,3.6,11.5,45.2%,28.6%,35.5%,12.2%,52.4%,34.3%,45.2%,16.3%,54.8%,34.3%,45.2%,18.4%,1.2,1.4,1.3,1.5,1.0,0.9,0.8,0.5,*,5,34,*,* / *,* / 5,64.7%,* / *,* / *,* / 5,55.9%,* / *,101,175,228,236,740,5.4%,7.1%,16.8%,23.6%,15.2%,8.2%,12.0%,16.5%,18.3%,14.7%,16.8%,20.0%,12.3%,4.2%,12.2%,15.2%,6.8%,7.2%,17.0%,11.6%,89.1%,70.3%,62.7%,74.0%,72.3%,78.3%,87.8%,80.7%,78.0%,81.2%,47.8%,41.9%,34.9%,46.0%,42.2%,28%,1%,4%,13%,2%,21%,4%,32%,40%,5%,33%,<1%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,DC
109,GEORGE WASHINGTON UNIVERSITY MEDICAL FACULTY ASSOCIATES,,WASHINGTON,DISTRICT OF COLUMBIA,"David Frankfurter, MD",60,85,55,45,43.3%,22.4%,20.0%,4.4%,38.3%,21.2%,18.2%,4.4%,52,77,51,38,50.0%,24.7%,21.6%,5.3%,44.2%,23.4%,19.6%,5.3%,57,75,49,31,45.6%,25.3%,22.4%,6.5%,40.4%,24.0%,20.4%,6.5%,2.3,4.5,5.0,22.5,41.0%,27.7%,10.3%,* / 15,53.8%,38.3%,24.1%,* / 15,56.4%,38.3%,31.0%,* / 15,1.4,1.5,1.5,1.3,0.9,1.0,1.0,0.6,0,15,18,0,,8 / 15,5 / 18,,,8 / 15,5 / 18,,139,124,118,108,489,8.2%,11.1%,14.1%,17.8%,12.0%,9.8%,10.3%,12.8%,22.0%,13.3%,15.8%,20.2%,5.1%,1.9%,11.2%,0.0%,0.0%,0.0%,0.0%,0.0%,74.2%,67.2%,69.6%,61.3%,68.2%,77.3%,76.1%,89.9%,67.7%,78.0%,16.7%,14.9%,23.2%,12.9%,17.0%,18%,2%,4%,5%,<1%,6%,0%,27%,31%,5%,12%,1%,24%,Yes,No,Yes,Yes,No,Yes,Yes,0,DC
110,BOCAFERTILITY,,BOCA RATON,FLORIDA,"Moshe (Maurice) R. Peress, MD",44,20,19,12,54.5%,60.0%,7 / 19,* / 12,52.3%,55.0%,5 / 19,* / 12,43,20,19,11,55.8%,60.0%,7 / 19,* / 11,53.5%,55.0%,5 / 19,* / 11,48,21,17,5,50.0%,57.1%,7 / 17,* / 5,47.9%,52.4%,5 / 17,* / 5,1.8,1.7,2.7,4.0,54.5%,7 / 14,6 / 13,* / 8,57.6%,10 / 14,6 / 13,* / 8,60.6%,10 / 14,6 / 13,* / 8,1.1,1.2,1.2,1.3,1.2,1.1,0.8,0.4,0,*,36,*,,* / *,58.3%,* / *,,* / *,47.2%,* / *,86,49,35,83,253,0.0%,0.0%,0 / 16,6.3%,1.9%,3.5%,4.1%,5.7%,12.3%,6.8%,3.5%,8.2%,5.7%,0.0%,3.6%,17.8%,21.4%,* / 17,38.3%,26.3%,100.0%,100.0%,17 / 17,97.9%,99.3%,75.6%,57.1%,* / 17,48.9%,56.2%,4.4%,3.6%,* / 17,10.6%,7.3%,33%,3%,13%,50%,10%,3%,15%,45%,42%,1%,6%,1%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
111,PALM BEACH FERTILITY CENTER,,BOCA RATON,FLORIDA,"Mark S. Denker, MD",39,21,28,17,35.9%,28.6%,25.0%,0 / 17,25.6%,19.0%,25.0%,0 / 17,36,18,26,14,38.9%,6 / 18,26.9%,0 / 14,27.8%,* / 18,26.9%,0 / 14,40,20,22,7,35.0%,30.0%,31.8%,0 / 7,25.0%,20.0%,31.8%,0 / 7,2.8,3.5,4.0,,34.4%,5 / 18,5 / 19,0 / 11,40.6%,6 / 18,5 / 19,0 / 11,40.6%,6 / 18,5 / 19,0 / 11,1.1,1.1,1.3,1.2,1.1,1.0,0.7,0.4,*,*,24,*,* / *,0 / *,33.3%,* / *,* / *,0 / *,29.2%,* / *,100,62,49,48,259,9.1%,10.3%,5.9%,4.3%,8.0%,25.5%,25.9%,21.3%,17.0%,23.2%,3.0%,1.6%,20.4%,4.2%,6.2%,5.9%,12.5%,* / 19,14.8%,11.6%,56.9%,62.5%,14 / 19,74.1%,64.3%,94.1%,84.4%,19 / 19,70.4%,87.6%,25.5%,21.9%,* / 19,44.4%,27.9%,53%,6%,14%,16%,14%,3%,2%,49%,31%,5%,11%,0%,<1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
